url,state,climdiv,CT,MA,ME,NH,NY,RI,VT,fips_code,name,startofoperation_x,endofoperation_x,Julianstartofoperation,Julianendofoperation,latitude,longitude,elev,sids1,location,startofoperation_y,Syear,SjulDate,endofoperation_y,Eyear,EjulDate,yearALL,julALL,long
25,CT,,15.331,,,,,,,9011,GROTON NEW LONDON AP,1999-12-10,2014-07-30,1999344,2014211,41.3275,-72.04944,10,14707 1,yes,1999-12-10,1999,3,2014-07-30,2014,334,15,331,15.331
26,CT,CT03,66.143,,,,,,,9009,NEW HAVEN TWEED AP,1948-01-01,2014-07-30,1948001,2014211,41.26389,-72.88722,3,14758 1,yes,1948-01-01,1948,9,2014-07-30,2014,152,66,143,66.143
27,CT,,18.212,,,,,,,9015,WILLIMANTIC WINDHAM AP,1996-07-01,2014-07-30,1996183,2014211,41.74194,-72.18361,247,54767 1,yes,1996-07-01,1996,1,2014-07-30,2014,213,18,212,18.212
144,CT,CT02,52.6,,,,,,,9015,WEST THOMPSON LAKE,1962-11-02,2014-07-31,1962306,2014212,41.94417,-71.90306,370,069388 2,yes,1962-11-02,1962,1,2014-07-31,2014,7,52,6,52.6
278,CT,CT01,98.89,,,,,,,9005,FALLS VILLAGE,1916-02-01,2014-07-31,1916032,2014212,41.95,-73.36667,550,062658 2,yes,1916-02-01,1916,191,2014-07-31,2014,102,98,89,98.89
279,CT,CT03,57.87,,,,,,,9011,GROTON,1957-04-25,2014-05-31,1957115,2014151,41.35111,-72.03889,40,063207 2,yes,1957-04-25,1957,3,2014-05-31,2014,90,57,87,57.87
280,CT,CT03,63.141,,,,,,,9001,NORWALK,1893-01-01,1956-04-11,1893001,1956102,41.13333,-73.45,121,065892 2,yes,1893-01-01,1893,71,1956-04-11,1956,212,63,141,63.141
281,CT,CT03,31.56,,,,,,,9001,NORWALK GAS PLT,1956-04-12,1987-10-28,1956103,1987301,41.11667,-73.41667,37,065893 2,yes,1956-04-12,1956,11,1987-10-28,1987,67,31,56,31.56
282,CT,CT03,59.204,,,,,,,9001,STAMFORD 5 N,1955-12-01,2014-07-31,1955335,2014212,41.12472,-73.5475,190,067970 2,yes,1955-12-01,1955,8,2014-07-31,2014,212,59,204,59.204
283,CT,CT02,126.142,,,,,,,9013,STORRS,1888-06-01,2014-07-31,1888153,2014212,41.795,-72.22861,665,068138 2,yes,1888-06-01,1888,69,2014-07-31,2014,211,126,142,126.142
433,CT,CT03,60.159,,,,,,,9011,NEW LONDON,1895-10-01,1955-09-30,1895274,1955273,41.35,-72.1,60,065309 2,yes,1895-10-01,1895,22,1955-09-30,1955,181,60,159,60.159
4219,CT,CT03,5.269,,,,,,,9001,STAMFORD,1950-08-01,1955-11-30,1950213,1955334,41.06667,-73.5,112,067969 2,yes,1950-08-01,1950,4,1955-11-30,1955,273,5,269,5.269
4220,CT,CT03,49.295,,,,,,,9001,PUTNAM LAKE,1965-09-01,2014-02-28,1965244,2014059,41.0825,-73.63861,300,066655 2,yes,1965-09-01,1965,4,2014-02-28,2014,299,49,295,49.295
4221,CT,CT03,6.31,,,,,,,9001,GREENWICH,1947-11-12,1953-12-25,1947316,1953359,41.08333,-73.7,449,063137 2,yes,1947-11-12,1947,10,1953-12-25,1953,320,6,310,6.31
4224,CT,CT03,66.201,,,,,,,9001,BRIDGEPORT SIKORSKY MEM AP,1948-07-01,2014-07-30,1948183,2014211,41.15833,-73.12889,5,94702 1,yes,1948-07-01,1948,10,2014-07-30,2014,211,66,201,66.201
4232,CT,CT03,56.12,,,,,,,9001,BRIDGEPORT,1895-08-09,1951-03-31,1895221,1951090,41.2,-73.2,141,060801 2,yes,1895-08-09,1895,332,1951-03-31,1951,212,56,120,56.12
4240,CT,CT02,49.177,,,,,,,9001,SAUGATUCK RSVR,1965-03-01,2014-07-31,1965060,2014212,41.25,-73.35,300,067157 2,yes,1965-03-01,1965,5,2014-07-31,2014,182,49,177,49.177
4242,CT,CT03,38.201,,,,,,,9007,WESTBROOK,1940-02-01,1978-06-30,1940032,1978181,41.3,-72.43333,39,069067 2,yes,1940-02-01,1940,11,1978-06-30,1978,212,38,201,38.201
4246,CT,CT03,23.12,,,,,,,9009,NEW HAVEN,1969-05-01,1992-06-30,1969121,1992182,41.3,-72.93333,20,065266 2,yes,1969-05-01,1969,1,1992-06-30,1992,121,23,120,23.12
4248,CT,CT02,7.144,,,,,,,9001,DERBY SHELTON,1884-11-01,1891-03-31,1884306,1891090,41.31667,-73.08333,69,067361 2,yes,1884-11-01,1884,67,1891-03-31,1891,211,7,144,7.144
4254,CT,CT02,4.12,,,,,,,9009,ANSONIA 1 NE,2010-05-08,2014-07-06,2010128,2014187,41.34889,-73.06944,140,060128 2,yes,2010-05-08,2010,332,2014-07-06,2014,212,4,120,4.12
4256,CT,CT02,1.135,,,,,,,9001,STEVENSON DAM,1980-11-01,1981-12-31,1980306,1981365,41.38194,-73.17167,115,068065 2,yes,1980-11-01,1980,328,1981-12-31,1981,193,1,135,1.135
4257,CT,,16.174,,,,,,,9001,DANBURY MUNI AP,1998-05-11,2014-07-30,1998131,2014211,41.37139,-73.48278,457,54734 1,yes,1998-05-11,1998,33,2014-07-30,2014,207,16,174,16.174
4258,CT,CT02,77.364,,,,,,,9001,DANBURY,1937-10-15,2014-05-31,1937288,2014151,41.4,-73.41667,405,061762 2,yes,1937-10-15,1937,1,2014-05-31,2014,365,77,364,77.364
4261,CT,CT03,0.198,,,,,,,9011,LAKE KONOMOC,1942-01-01,1942-01-31,1942001,1942031,41.4,-72.18333,180,063989 2,yes,1942-01-01,1942,14,1942-01-31,1942,212,0,198,0.198
4262,CT,CT02,78.42,,,,,,,9009,MT CARMEL,1936-02-01,2014-07-31,1936032,2014212,41.4075,-72.90333,180,065077 2,yes,1936-02-01,1936,254,2014-07-31,2014,212,78,42,78.42
4264,CT,CT02,38.19,,,,,,,9007,COCKAPONSET RS,1961-09-25,1999-09-08,1961268,1999251,41.46139,-72.51972,160,061488 2,yes,1961-09-25,1961,,1999-09-08,1999,190,38,190,38.19
4269,CT,CT02,58.147,,,,,,,9011,NORWICH PUB UTIL PLA,1956-08-01,2014-07-31,1956214,2014212,41.52694,-72.06417,20,065910 2,yes,1956-08-01,1956,4,2014-07-31,2014,151,58,147,58.147
4270,CT,CT02,4.21,,,,,,,9011,NORWICH 5 SW,1952-12-11,1956-07-31,1952346,1956213,41.5,-72.15,302,065905 2,yes,1952-12-11,1952,2,1956-07-31,1956,212,4,210,4.21
4273,CT,,15.141,,,,,,,9009,MERIDEN MARKHAM MUNI AP,1999-08-03,2014-07-30,1999215,2014211,41.50972,-72.82778,103,54788 1,yes,1999-08-03,1999,71,2014-07-30,2014,212,15,141,15.141
4276,CT,CT02,4.78,,,,,,,9011,NORWICH,1948-06-01,1952-12-10,1948153,1952345,41.55,-72.08333,200,065904 2,yes,1948-06-01,1948,290,1952-12-10,1952,212,4,78,4.78
4277,CT,CT02,80.62,,,,,,,9011,COLCHESTER 2 W,1893-01-01,1973-12-31,1893001,1973365,41.55,-72.36667,479,061499 2,yes,1893-01-01,1893,148,1973-12-31,1973,210,80,62,80.62
4278,CT,CT02,2.3,,,,,,,9007,MIDDLETOWN WB,1956-04-01,1958-05-31,1956092,1958151,41.55,-72.55,135,04744 1,yes,1956-04-01,1956,1,1958-05-31,1958,301,2,300,2.3
4280,CT,CT02,139.169,,,,,,,9007,MIDDLETOWN 4 W,1875-01-01,2014-07-31,1875001,2014212,41.55,-72.71667,369,064767 2,yes,1875-01-01,1875,12,2014-07-31,2014,181,139,169,139.169
4281,CT,CT02,61.29,,,,,,,9009,WATERBURY ANACONDA,1893-01-01,1954-03-31,1893001,1954090,41.56667,-73.03333,322,068909 2,yes,1893-01-01,1893,273,1954-03-31,1954,244,61,29,61.29
4282,CT,CT02,8.211,,,,,,,9009,WATERBURY RADIO WBRY,1958-05-11,1966-11-30,1958131,1966334,41.58333,-73.03333,610,068916 2,yes,1958-05-11,1958,1,1966-11-30,1966,212,8,211,8.211
4283,CT,CT02,29.202,,,,,,,9009,WATERBURY CITY HALL,1926-01-01,1955-07-31,1926001,1955212,41.56667,-73.03333,341,068911 2,yes,1926-01-01,1926,10,1955-07-31,1955,212,29,202,29.202
4285,CT,CT01,42.365,,,,,,,9005,WOODBURY,1967-02-01,2009-02-28,1967032,2009059,41.55361,-73.22972,650,069775 2,yes,1967-02-01,1967,,2009-02-28,2009,365,42,365,42.365
4288,CT,CT02,6.126,,,,,,,9011,JEWETT CITY,2000-01-02,2006-04-14,2000002,2006104,41.62972,-71.90139,400,063857 2,yes,2000-01-02,2000,6,2006-04-14,2006,132,6,126,6.126
4289,CT,CT02,23.186,,,,,,,9011,BALTIC,1943-04-01,1966-09-30,1943091,1966273,41.61667,-72.1,141,060251 2,yes,1943-04-01,1943,9,1966-09-30,1966,195,23,186,23.186
4291,CT,CT01,11.207,,,,,,,9005,WASHINGTON,1942-08-01,1953-10-31,1942213,1953304,41.63333,-73.31667,620,068859 2,yes,1942-08-01,1942,4,1953-10-31,1953,211,11,207,11.207
4296,CT,CT01,48.38,,,,,,,9005,WIGWAM RSVR,1949-06-01,1997-01-31,1949152,1997031,41.66667,-73.13333,570,069568 2,yes,1949-06-01,1949,339,1997-01-31,1997,301,48,38,48.38
4297,CT,CT01,42.308,,,,,,,9005,BULLS BRG DAM,1957-05-08,1999-11-04,1957128,1999308,41.67639,-73.50861,260,060961 2,yes,1957-05-08,1957,1,1999-11-04,1999,309,42,308,42.308
4300,CT,CT02,94.206,,,,,,,9003,HARTFORD BRAINARD FLD,1920-01-01,2014-07-30,1920001,2014211,41.73611,-72.65056,19,14752 1,yes,1920-01-01,1920,6,2014-07-30,2014,212,94,206,94.206
